,Company name,Category
198,AXIMA,141
199,ARMOR OUTILLAGE,141
200,AXIMA CONCEPT,141
201,ADPC 31,142
202,AFMAÃÂ,143
203,AIMPLAS,144
204,ALTER TECHNOLOGY,145
205,ANCOR CONSULTANTS,146
206,"AUGSTEN, ANDRE",147
207,ANDRE AUGSTEN,147
208,ARTHOS TEAM,148
209,ARTHOS-TEAM,148
210,ADVANCED ANALYSIS & INTEGRATION LTD,149
211,ALKAN,150
212,ALLIANTECH,151
213,ABILWAYS LS,152
214,ASSOCIATION DU MEMORIAL DES,153
215,ADEN HOTEL,154
216,ADAGIO CITY APARTHOTEL,155
217,ALCUIN,156
218,ARCHITEKTURBUERO,157
219,AVERY WEIGH TRONIX,158
220,AFIS,159
221,AFCEA,160
222,ACIES,161
223,ALKAN SAS,162
224,ABEL&KÃÂUFEL,163
225,ABEL & IMRAY,163
226,ABEL & KAEUFL MOBILFUNKHANDELS GMBH,163
227,ACSSI,164
228,AUTOMIC SOFTWARE,165
229,AER LINGUS,166
230,AMI & CADD VENS CONSULTING,167
231,ANDRH,168
232,ALCHEMIZE LTD,169
233,ALGECO,170
234,APAVE PARISIENNE SAS,171
235,ASSOCIATION ANGELLES,172
236,ASSOCIATION ANGELLE,172
237,AVANZO,173
238,ABC ENTREPRISES,174
239,APOSTEOSE,175
240,ANALYT-MTC GMBH,176
241,ASSESSFIRST,177
242,ATELIER PRECISION MECANIQUE,178
243,ASSOCIATION DES AMIS DE LA,179
244,AXEL JANZEN,180
245,AMIDATA,181
246,AMIDATA SA,181
247,ADS2,182
248,ALM FORMATION 31,183
249,AMARANTE INTERNATIONAL,184
250,AGILITY SPAIN SA,185
251,AGILEA CONSEIL,186
252,AILB,187
253,AXIVION,188
254,ANDREA SCHARF,189
255,APPLE,190
256,APPLE STORE,190
257,APPLE RETAIL FRANCE EURL,190
258,APPLES & PEARS,190
259,ACFM,191
260,ASTER TECHNOLOGIES,192
261,AUBELE CAD-CAM,193
262,AUTOMOBILES CITROEN,194
263,AAS,195
264,AFPA ENTREPRISES,196
265,AMBULANCE BREVINOISE,197
266,ADECCO OUTSOURCING,198
267,ARCO LTD,199
268,AERCO LTD,199
269,ARGON,200
270,ARNOLD CONSULT AG,201
271,ACP SPP,202
272,AFOS,203
273,ARKOON,204
274,AUTOCARS DOMINIQUE,205
275,ADVANTEST FRANCE,206
276,ASSOCIATION DES ANCIENS ELEVES ET,207
277,ATELIERS DAVID,208
278,ANDREA SIMON,209
279,AFM RECYCLAGE,210
280,ADVANTEAM & PARTNERS,211
281,ADAM MEDIEN,212
282,ADDLIFE INC,213
283,AENA,214
284,AENA SA,214
285,ADVENDI,215
286,ACE INGENIERIE,216
287,AFC INGENIEROS SA,217
288,AUDICON,218
289,AXE SUD,219
290,ANCON GMBH,220
291,AGENCIA EFE,221
292,AGENCIA EFE SA,221
293,ADELIE,222
294,ASTRAEUS,223
295,ANSTEE & WARE LTD,224
296,AFFUTAGE LYONNAIS,225
297,AFLY AFFUTAGE LYONNAIS,225
298,ATDI,226
299,APPLIED TECHNOLOGIES INTERNET,227
300,ATOUTS COEUR,228
301,ASSOCIATION AFICH,229
302,ALLIANCE FRANCAISE,230
303,ACCELONIX,231
304,APEX TOOL GROUP,232
305,APEX TOOL,232
306,APEX TOOL GROUP SAS,232
307,AXON KABEL GMBH,233
308,AUTOCRIB INC,234
309,AB ASSOCIATES,235
310,ASSIMA FRANCE,236
311,AFSM,237
312,ATM,238
313,ASSOCIATION AAARIEGES,239
314,ABB,240
315,ABB FRANCE,240
316,ARCONIC FASTENING SYSTEMS & RINGS,241
317,ALIAGE,242
318,AMBULANCIAS ANTA,243
319,SAS AKAJOULE,244
320,AQUILA AUDIOVISUEL,245
321,AIA,246
322,ARBEITSGEMEINSCHAFT,247
323,AMAZON EU S.A.R. L.,248
324,A PESD,249
325,AQUA PARTS & SERVICE GMBH,250
326,AUTOFORM,251
327,APSHYDE,252
328,ARCADIE INFORMATIQUE,253
329,ALHO SYSTEMBAU GMBH,254
330,ATHOS GMBH,254
331,ASSOCIATION SOCIETHICS,255
332,APL DATA CENTER,256
333,AC & PROMOTORADOS SL,257
334,ATOS INTEGRATION,258
335,ALTIMET,259
336,AVISTA,260
337,EBERLEIN,261
338,ADM21,262
339,ANTINNO,263
340,AD HOC COMMUNICATION,264
341,AITIIP,265
342,ATOS INFOGERANCE,266
343,AERIAL,267
344,ATR INTERNATIONAL INC,268
345,AGENCE NATIONALE DES FREQUENCES,269
346,ABGI FRANCE,270
347,ASYS GROUP,271
348,ALCRYS FLUID-CONTROL & SERVICES,272
349,AXEGIDE,273
350,AKKA DOCUMENTAIRE,274
351,AQSE CONSEIL FORMATION,275
352,AROP,276
353,AZUL LINHAS AEREAS BRASILEIRAS,277
354,AURIEM - ASSOCIATION UTILISATEURS,278
355,AURIEM,278
356,ARM LTD.,279
357,ARM LTD,279
358,ASIP,280
359,ATA SL,281
360,AEB GMBH,282
361,AIB GMBH,282
362,ANITE,283
363,ACQUIP INC,284
364,ASTON SAS,285
365,APAVE SUDEUROPE SAS,286
366,APAVE SUDEUROPE,286
367,ATELIER INTELLIGENCE ECONOMIQUE,287
368,ADMISSIONS SAS,288
369,ALTA,289
370,ALIS,290
371,ANCRAGE,291
372,AXE SUD SARL,292
373,ADVANCED BUSINESS EVENTS,293
374,ARBRACAM,294
375,AEM INTERNATIONAL,295
376,ARABELLA,296
377,AN4 GROUP LIMITED,297
378,ACP COACHING,298
379,ACC INGENIERIE,299
380,ARKADIN,300
381,AJW GROUP,301
382,AFNET,302
383,ACE TIMING,303
384,AVENCOD,304
385,"ALU-STOCK, SA",305
386,ALTERNANCE ACADEMY,306
387,AVT EUROPE NV,307
388,ALGITECH,308
389,ALCEN,309
390,ALITHIS SARL,310
391,AKKA,311
392,AKKA I&S - GROUPE AKKA TECHNOLOGIES,311
393,AKKA I&S,311
394,ASAP,312
395,ALLTRANSPACK,313
396,ALITALIA,314
397,ANGIE,315
398,ADDITEK,316
399,ABC,317
400,ADVOLIS,318
401,ATCI,319
402,AVANTIS CONCEPT,320
403,AVANTIS,320
404,ACSYSTEME,321
405,AW & F TECHNICAL CONCEPTS GMBH,322
406,ATELIERS CINI SA,323
407,AMEX - AMERICAN EXPRESS,324
408,ASSOCIATION GRADISCA,325
409,AUTOMATED PACKAGING SYSTEMS,326
410,ARTHUS BERTRAND,327
411,ABAQUES SAS,328
412,ASERVO,329
413,ATYS CONCEPT,330
414,ANTAVIA SA,331
415,ARES,332
416,ATLANTIQUE BERLINES,333
417,AHS INTERNATIONAL,334
418,AMS TECHNOLOGIES,335
419,AMSYS GMBH,336
420,ATOS AG,337
421,AVON DISPLAYS,337
422,AFPA MIDI PYRENEES,337
423,AES (SOPRA),337
424,ATLAS (ADECCO),337
425,AMERICAN OFFICE,337
426,AFPA MIDI-PYRENEES,337
427,BULL GROUP (ATOS),337
428,ABB AUTOMATION,337
429,A NOVO TELECOM SERVICES,337
430,ATLANTIC BUREAU SARL,337
431,ADECCO FRANCE - NANTES,337
432,ATG LUTHER & MAELZER GMBH,337
433,AMERICAN INTERNATIONAL ASSURANCE,337
434,AMPERE INDUSTRIE SAS,337
435,AUTOMATION SYSTEMS GROUP,337
436,ADOBE SYSTEMS SOFTWARE IRELAND,338
437,AVERYS,339
438,ANDICARS LIMITED,340
439,AXWAY,341
440,AXWAY SOFTWARE,341
441,AARON & PARTNERS LLP,342
442,ALESSIO CASTELLO,343
443,ANDREAS RIEGER,344
444,AQMO-ISSA,345
445,AQMO,345
446,AREVA,346
447,AREVA TA,346
448,AMOVA,347
449,AXON CABLE SAS,348
450,LAGRANGE APARTHOTEL,349
451,AGILENT TECHNOLOGIES FRANCE,350
452,AGILENT TECHNOLOGIES,350
453,ANECOM,351
454,AFT ISTELI,352
455,AFTRAL,352
456,AVENTICS GMBH,353
457,ADETEL GROUP,354
458,APAVE NORD OUEST ASS,355
459,ANSYS,356
460,ACCENTURE,357
461,APTT LTD,358
462,AQUALENZ,359
463,AVIONICS & ELECTRONICS,360
464,AXPO,361
465,AFTER PRINT,362
466,ALFOL GMBH,363
467,ASERTI ELECTRONIC,364
468,ASB AKADEMIE,365
469,"AVENTRI, INC.",366
470,"AVENTRI, INC",366
471,ANABATIC,367
472,AEGIS SOFTWARE GMBH,368
